hydropower_Ak,irrigation,environment,floodcontrol,hydropower_Kp,Name
2580.449377,0.902701282,0.794520548,0,479.0685976,Other solutions
2713.437888,0.859538593,0.791780822,0,507.2390895,Other solutions
2863.76198,0.784128838,0.791780822,0,540.7045487,Other solutions
2858.05644,0.758931212,0.791780822,0,541.0102212,Other solutions
2848.280321,0.51517198,0.791780822,0,546.5027815,Other solutions
2823.66433,0.873418222,0.783561644,0,528.4848924,Other solutions
2899.167945,0.75990438,0.783561644,0,550.0546043,Other solutions
2678.217849,0.906631201,0.780821918,0,497.5267568,Other solutions
2893.672094,0.827266386,0.780821918,0,543.083524,Other solutions
2908.928508,0.749131069,0.780821918,0,552.8068391,Other solutions
2945.903464,0.508882855,0.780821918,0,566.1390449,Other solutions
2755.568171,0.906685917,0.778082192,0,513.3578759,Other solutions
2967.439115,0.86672195,0.778082192,0,556.8644405,Other solutions
2953.122305,0.757108109,0.77260274,0,559.267997,Other solutions
2990.340481,0.747602676,0.77260274,0,568.6493067,Other solutions
2791.777803,0.903192635,0.761643836,0,521.048413,Other solutions
3014.026321,0.852680184,0.761643836,0,568.9436536,Other solutions
3016.013489,0.698114952,0.761643836,0,574.3675737,Other solutions
3025.912954,0.829634896,0.756164384,0,570.7840804,Other solutions
2805.67807,0.901212876,0.753424658,0,524.4841015,Other solutions
2803.318882,0.901148003,0.750684932,0,524.9366269,Other solutions
3060.878588,0.774861848,0.750684932,0,578.8724845,Other solutions
3057.400552,0.762965298,0.750684932,0,580.2457627,Other solutions
3048.033688,0.684558443,0.750684932,0,581.5970667,Other solutions
3059.848354,0.07036803,0.747945205,0,602.7343713,Other solutions
2861.298162,0.903704049,0.742465753,0,534.0323184,Other solutions
3150.425498,0.882285194,0.742465753,0,592.9069775,Other solutions
3113.305513,0.757198944,0.742465753,0,593.2294842,Other solutions
2950.191425,0.905318801,0.731506849,0,551.1088013,Other solutions
3145.666429,0.768907483,0.731506849,0,599.3606833,Other solutions
3169.768967,0.74899382,0.731506849,0,602.4031345,Other solutions
3162.587796,0.553555074,0.731506849,0,605.6486662,Other solutions
3163.783684,0.800049056,0.726027397,0,598.5371242,Other solutions
2978.578818,0.902898057,0.723287671,0,557.510007,Other solutions
3176.314789,0.880088249,0.720547945,0,598.4181164,Other solutions
3188.096074,0.754397981,0.720547945,0,607.0645548,Other solutions
3214.971066,0.738353734,0.720547945,0,613.1293334,Other solutions
3023.068698,0.905120532,0.717808219,0,566.7501694,Other solutions
3031.265994,0.900181413,0.715068493,0,565.8613728,Other solutions
3228.93048,0.88520787,0.715068493,0,608.3089124,Other solutions
3210.413768,0.488508942,0.715068493,0,618.5596404,Other solutions
3234.463791,0.761424796,0.712328767,0,615.1979423,Other solutions
3240.32019,0.740887084,0.712328767,0,617.5469668,Other solutions
3083.302733,0.908607353,0.706849315,0,577.3542345,Other solutions
3339.719744,0.875197173,0.701369863,0,631.5899297,Other solutions
3343.572747,0.550436749,0.695890411,0,644.0732026,Other solutions
3372.05726,0.872099516,0.693150685,0,638.0738808,Other solutions
3174.521864,0.903935503,0.690410959,0,597.4115718,Other solutions
3191.212263,0.90402631,0.687671233,0,599.1314744,Other solutions
3432.993744,0.850471429,0.684931507,0,651.5089803,Other solutions
3442.542317,0.894286346,0.676712329,0,652.1063425,Other solutions
3439.172197,0.818687155,0.676712329,0,654.376239,Other solutions
3259.067215,0.905194277,0.673972603,0,611.9072938,Other solutions
3433.039083,0.776091129,0.671232877,0,654.7063618,Other solutions
3416.319801,0.575589936,0.671232877,0,657.3511926,Other solutions
3634.0075,0.550800078,0.665753425,0,696.2633542,Other solutions
3617.841907,0.423829678,0.663013699,0,698.1613224,Other solutions
3392.90358,0.900015522,0.660273973,0,639.2853263,Other solutions
3515.574259,0.851457169,0.660273973,0,666.5241692,Other solutions
3518.573289,0.76611373,0.660273973,0,670.7095081,Other solutions
3508.315496,0.735070598,0.660273973,0,671.2285776,Other solutions
3632.708454,0.350348598,0.660273973,0,703.8255586,Other solutions
3575.165821,0.801562185,0.654794521,0,681.7940429,Other solutions
3618.296745,0.405560938,0.654794521,0,698.1779689,Other solutions
3542.695323,0.857372599,0.652054795,0,672.2578806,Other solutions
3569.76468,0.727293384,0.652054795,0,683.4213876,Other solutions
3652.396633,0.527156194,0.649315068,0,700.6019854,Other solutions
